Startup_Name,Industry_Vertical,City_Location,Investors_Name,Investment_Type,Amount_In_USD
Grab,Hyperlocal Logistics Service Provider,Mumbai,Sixth Sense Ventures,Seed Funding,0.00
Hitwicket,Cricket Management Mobile Game,Hyderabad,Chennai Angels,Seed Funding,250000.00
Flashdoor,On Demand Laundry Service platform,Bangalore,"Sujeet Kumar, Ankit Nagori, Traxcn Labs",Seed Funding,0.00
Cashkaro.com,Ecommerce Discount & Cashback coupons platform,Gurgaon,Kalaari Capital,Private Equity,3700000.00
Absentia,Virtual Reality Headset creator,Bangalore,"Astarc Ventures, 50K Ventures & others",Seed Funding,180000.00
Renowala,Home Improvement Service platform,Hyderabad,Logtally,Seed Funding,0.00
TaskBucks,mobile-only tasks marketplace,New Delhi,Times Internet,Private Equity,15000000.00
CraftsVilla,Women Ethnic Wear Online Marketplace,Mumbai,"Sequoia India, Lightspeed Venture Partners, Nexus Venture Partners, Global Founders Capital, Apoletto",Private Equity,34000000.00
Julia Computing,Numerical Computing & Data Science Platform,Bangalore,Gordon and Betty Moore Foundation,Seed Funding,600000.00
StyleTag,Designer fashion Jewellery Marketplace,Bangalore,Jitu Virwani,Seed Funding,7500000.00
Smytten,Online Products Discovery Platform,Gurgaon,"Rimpal Chawla, Anuj Srivastava",Seed Funding,200000.00
BiBox,Kids Tool kit for Innovation platform,Bangalore,Ravi Krishnamurthy,Seed Funding,530000.00
Convegenius,Mobile Learning Solutions,Noida / Singapore,Enablers platform,Seed Funding,300000.00
Ola,Car Aggregator & Retail Mobile App,Bangalore,"Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank Group, DST Global, Didi Kuaidi",Private Equity,500000000.00
Goodbox,conversational commerce mobile app,Bangalore,Nexus Venture Partners,Private Equity,2500000.00
ScoopWhoop,Viral Content web Platform,New Delhi,Kalaari Capital,Private Equity,4000000.00
Hipship,Express local delivery platform,Bangalore,"Inara Capital , Rishi Khiani",Seed Funding,0.00
Pickrr,On-Demand Local Logistics provider,New Delhi,Palaash Ventures,Seed Funding,0.00
Truelancer,Curated Freelancer Marketplace,New Delhi,"Blackstone Valley Group, Raghu Vohra, Aditya Dev Sood, Kamal Bansal",Seed Funding,0.00
AHA Taxis,Online Taxi Rental Platform,Noida,ah! Ventures,Seed Funding,0.00
UrbanClap,Mobile Services Marketplace,Gurgaon,"Bessemer Venture Partner, Accel, SAIF Partners",Private Equity,25000000.00
SenseGiz,Smartwatch Maker,Belgaum,Karnataka Semiconductor Venture Capital firm,Seed Funding,500000.00
PlaceofOrigin,Online Gourmet Food Marketplace,Bangalore,"S.D. Shibulal, Kris Gopalakrishnan, Srinath Batni, Professor Tarun Khanna, Ganapathy Venugopal.",Seed Funding,0.00
Fourseven,Online Jewellery etailer,New Delhi,Indian Angel Network,Seed Funding,455000.00
MindTickle,Sales & Productivity Software,Pune / US,New Enterprise Associates,Private Equity,12500000.00
Shopsense,ecommerce related software product platform,Mumbai,"Kae Capital, Kunal Bahl, Rohit Bansal",Seed Funding,0.00
Medinfi,Health-Tech platform,Bangalore,"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others",Seed Funding,305000.00
OUWT,Nightlife Discovery Mobile App,Mumbai,Undisclosed investors,Seed Funding,150000.00
HeyPillow,Online Real Estate Marketplace,Bangalore,Hampton Capital,Private Equity,3000000.00
Healers At Home,"Home Healthcare Services platform,",New Delhi,"Daljit Singh, Dr. Pramath Raj Sinha, BVR Mohan Reddy",Seed Funding,0.00
Caravan Craft,Indian Ethnic Crafts Etailer,Bangalore,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",Private Equity,1200000.00
Talkoot,Social platform for traders and investors,Bangalore,Undisclosed investors,Seed Funding,100000.00
RentoMojo,"Online Furniture, Home Appliances Rental Platform",Bangalore,"IDG Ventures India, Accel Partners India",Private Equity,2000000.00
Medikoe,Healthcare Services Discovery platform,Bangalore,Anil Menon,Seed Funding,100000.00
Stylofie,Health and Beauty Services Marketplace,Gurgaon,Swastika,Seed Funding,250000.00
ServX,Automotive Services platform,New Delhi,Manish Gupta,Seed Funding,0.00
Naaptol,Online and TV Shopping Marketplace,Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Private Equity,52000000.00
Crayon Data,Big Data Analytics Platform,Chennai/ Singapore,Ratan Tata,Private Equity,0.00
EarlySalary.com,Mobile App based Loan disbursement platform,Mumbai,Ashok Agarwal,Seed Funding,1500000.00
Tooler,On Demand Laundry Services App,New Delhi,"Raghu Khanna, Sameer Gupta",Seed Funding,110000.00
S Chand,Education Content Provider,New Delhi,IFC Everstone Group,Private Equity,27000000.00
Stelae,Content Management Software Solutions,Chennai,Earlsfield Capital,Private Equity,0.00
GoQii,Fitness Tracking Management Solutions,Mumbai,"New Enterprise Associates, Cheetah Mobile",Private Equity,13400000.00
Grofers,Hyper-local Grocery Delivery platform,Gurgaon,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",Private Equity,120000000.00
Pluss,Hyperlocal healthcare product Delivery Service provider,Gurgaon,"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",Private Equity,1000000.00
KountMoney,Online Lending Marketplace,Bangalore,"Tracxn, Ashish Goenka & Others",Seed Funding,0.00
StayGlad,On Demand Beauty Services Platform,Bangalore,"Bessemer Venture Partners, Anil Chopra",Private Equity,0.00
JustRide,Self Driven Rental Car Platform,Mumbai,PayU & Others,Private Equity,2000000.00
Fastudent,Education Content etailer,Noida,Ashish Gupta,Seed Funding,0.00
LearnOn,Clud based Learning platform,Chennai,JMR Infotech India Pvt Ltd,Seed Funding,0.00
Talentrack,Talent Exchange & Talent Services Marketplace,New Delhi,Unigrowth Inc,Seed Funding,0.00
M-TAXI,Two-Wheeler Taxi Service,Gurgaon,"Mandeep Singh, Jairaj Singh",Seed Funding,0.00
Baxi,Two-Wheeler Taxi Service,Gurgaon,"Manish Kheterpal, Alok Mittal, Puneet Dalmia,",Seed Funding,1450000.00
Superhero Brands,character merchandize sales platform,Mumbai,DSG Consumer Partners,Seed Funding,540000.00
MoMagic,Mobile Application Developer,New Delhi,FIH Mobile Ltd,Private Equity,0.00
QikPod,Ecommerce Delivery locker services,Bangalore,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,9000000.00
Butterfly Interactive,extra curricular activities marketplace app,New Delhi,Undisclosed investors,Seed Funding,0.00
Bro4U,Hyperlocal Online Home services provider,Bangalore,Sargod Ventures,Seed Funding,0.00
Indifi,Easy Business Loans platform,Gurgaon,"Accel Partners, Elevar Equity, Pramod Bhasin, Rajan Anandan, Gaurav Dalmia, Abhishek Goyal, Gagan Hasteer , Arun Tadanki",Seed Funding,0.00
Wydr,Performance based Wholesale Marketplace,New Delhi,Sandeep Aggarwal,Seed Funding,0.00
EasyFix,Professional Services Marketplace,Gurgaon,Axilor Ventures,Seed Funding,0.00
Muvizz,Movie-on-demand platform,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,350000.00
Abhibus,us ticketing and fleet management platform,Hyderabad,Paytm (One97 communications),Private Equity,0.00
Cleartax,Online Income Tax Filing platform,New Delhi,Paytm (One97 communications),Private Equity,0.00
Shopalyst,Product discovery & recommendation platform,Bangalore,Kalaari Capital,Private Equity,2000000.00
Chillr,Mobile Payments App,Mumbai,Sequoia Capital,Private Equity,6000000.00
Nykaa,Beauty & Wellness Products e-tailer,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,9500000.00
Voylla,Fashion jewelry and accessories e-tailer,Jaipur,Peepul Capital,Private Equity,15000000.00
IndiaLends,Online Consumer Lending platform,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,1000000.00
Rock N Shop,Premium Apparel shopping portal,New Delhi,High Networth Individuals (undisclosed),Seed Funding,150000.00
DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,700000.00
WorkIndia,Job Board,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed Funding,500000.00
SportzVillage,Sports Management & Physical Education Business,Bangalore,Gaja Capital Private Equity Fund,Private Equity,10000000.00
SportyBeans,multi-sport program for preschoolers,Pune,YouWeCan Ventures,Seed Funding,0.00
Burger Singh,QSR & Online delivery portal,Gurgaon,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,500000.00
Welcome Cure,Online Homeopathy Clinic,Mumbai,Unnamed Media house and HNIs,Private Equity,6000000.00
SchoolGuru,E-Learning Service Provider,Mumbai,High Networth Individuals from India & USA,Private Equity,3000000.00
Naturally Yours,Organic Food etailer,Mumbai,Sanjay Mehta,Seed Funding,0.00
GoJavas,Delivery & Logistics Service provider,Gurgaon,Snapdeal,Private Equity,20000000.00
Scandid,Product Discovery & comparison App,Pune,Micromax Informatics,Private Equity,0.00
StalkBuyLove,Online Apparels Fashion brand,New Delhi,"Mato Peric, Peter Kabel & others",Private Equity,0.00
ZuperMeal,Home Cooked Food marketplace & Delivery,Mumbai,"Sanjeev Kapoor, Ravi Saxena & Others",Private Equity,2000000.00
Cube26,Gesture based Mobile Development,New Delhi,"Tiger Global Management, Flipkart",Private Equity,7700000.00
Mobikon,Hotel Mobile CRM Software platform,Pune / Singapore,"Life.SREDA, Qualgro",Private Equity,0.00
Grabhouse,Rental Accommodation Search platform,Bangalore,Sequoia and Kalaari Capital.,Private Equity,10000000.00
Quifers,Logistics Tech Platform,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,310000.00
Stockroom.io,Developer Portfolio Showcase platform,Hyderabad,Undisclosed Investors,Seed Funding,70000.00
Curofy,Doctors Network Mobile App,New Delhi,RoundGlass Partners,Private Equity,0.00
Cloud Lending,End-to-End Lending platform,Bangalore / San Mateo,SF Capital Group,Private Equity,8000000.00
Inayo,on-demand healthcare marketplace,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding,300000.00
WoNoBo,360-degree view creating platform,Bangalore,Quikr,Private Equity,0.00
Kulzy,Advertising & Marketing Community Networking platform,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding,1000000.00
Zeppery,Food Ordering & Delivery App,New Delhi,Suyash Sharma,Seed Funding,77000.00
Zify,Ride Sharing platform,Hyderabad,Sean O\\xe2\\x80\\x99Sullivan & Others,Seed Funding,190000.00
Faircent,Online P2P lending marketplace,Gurgaon,Aarin Capital Partners,Private Equity,0.00
Bizongo,B2B marketplace for industrial goods,Mumbai,Accel Partners,Seed Funding,0.00
Gridle,Cloud Based Collaboration platform,Ahmedabad,LetsVenture,Seed Funding,100000.00
Tripoto,global community for travellers,New Delhi,"500 Startups, IDG Ventures & Advantedge fund, Neeraj Arora, Leon Seynave",Private Equity,0.00
Mubble,Prepaid Bill manager App,Bangalore,Accel Partners,Private Equity,0.00
Voodoo,Mobile Only Shopping Assistant,New Delhi,SAIF Partners,Seed Funding,1000000.00
Lookup,Mobile Messaging Assistant App,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,2500000.00
AskMyGift,Personalized Wish List creator app,Noida,Turning Ideas,Seed Funding,50000.00
Gaana.com,Music Streaming mobile app,Mumbai,Micromax Informatics Ltd,Private Equity,0.00
Zappfresh,Raw Meat & Ready to eat food etailer,Gurgaon,Undisclosed Investors,Seed Funding,77000.00
GymTrekker,Gym Discovery platform,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta",Seed Funding,0.00
Bounty App,Online Purchase rewards app,Bangalore,"Fireside Ventures, Mumbai Angels MAPE Advisory Group.",Seed Funding,0.00
Homers.in,Home rental platform,Gurgaon,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",Seed Funding,0.00
mShipper,Crowdsourced Delivery platform,New Delhi,Vijai Laxmi,Seed Funding,0.00
BolRealty,Real Estate Insights platform,New Delhi,Manpreet Singh,Seed Funding,0.00
S-Cube Futuretech,Structural & Civil Engg Service Automation,Mumbai,Parampara Capital,Private Equity,1000000.00
LetsVenture,Startup Funding Marketplace,Bangalore,"Accel Partners, Anupam Mittal & other marquee investors",Private Equity,0.00
Citrus Payment,Payments Solution platform,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,25000000.00
Holidify,Travel Destination Discovery platform,New Delhi,Aarti Group,Seed Funding,100000.00
PrimaSeller,Order Fulfillment SAAS platform,Bangalore,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & others",Seed Funding,0.00
Opinio,Last Mile Delivery Service,Bangalore,"Delhivery, Sands Capital and Accel Partners",Private Equity,7000000.00
Attune Technologies,Healthcare IT Solutions & services,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,10000000.00
iChef.in,Gourmet Meals Delivery,Mumbai,Springboard Ventures,Private Equity,0.00
Jiyo Natural,Healthy Meals Food delivery platform,Bangalore,Indian Angel Network,Seed Funding,0.00
AgentDesks,Real Estate Mobile CRM,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,2950000.00
White Owl Brewery,Micro-Brewery,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,1530000.00
MealHopper,Home Made Food Marketplace,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,100000.00
Zenify.in,residential rental management platform,Bangalore,"Atul Jalan, Shrikanth & Bharath",Seed Funding,640000.00
Stockal,Personalized Stock Intelligence Platform,Bangalore,"R Natarajan, Mohan Alexander",Seed Funding,0.00
Medd,Personal Diagnostic Mobile App,Mumbai,Group of Angel investors,Seed Funding,150000.00
Leaping Caravan,Online food ordering & Delivery service,Gurgaon,Group of Angel investors,Seed Funding,150000.00
Frsh,Online food ordering & Delivery service,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,1000000.00
Qik Stay,Hotel Aggregator & booking platform,New Delhi,ID Enablers Pvt Ltd,Seed Funding,250000.00
Parcelled,Online Logistics Platform,Bangalore,Delhivery,Private Equity,5000000.00
AlmaMapper,Online Student & Campus Social Networking platform,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding,400000.00
Flexing It,Professionals & Project Search Marketplace,New Delhi,undisclosed private investors,Seed Funding,500000.00
Netmeds.com,Online Pharmacy,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,50000000.00
Razorpay,Online Payment Gateway,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,9000000.00
Jombay,Psychometric Test Online Software,Pune,Ventureworks India,Private Equity,0.00
Happitoo,Location based Nightlife recommendation Platform,Mumbai,Unnamed investor,Seed Funding,77000.00
Care24,Professional Health Services Platform,Mumbai,India Quotient,Seed Funding,350000.00
Roadrunnr,Hyperlocal Logistics Service,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,10000000.00
Simpli5d,Online user engagement platform,Gurgaon,"Redcliffe Capital, YourNest Angel Fund",Private Equity,0.00
ORIGA Leasing,Asset Financing platform,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding,1100000.00
Smartivity.in,Virtual Reality activity based learning platform,New Delhi,S Chand and Co Pvt Ltd,Seed Funding,200000.00
UrDoorStep,Online Grocery Store,Bangalore,Jupiter Capital,Private Equity,0.00
Tavaga,Investment management platform,Mumbai,Tracxn Syndicate,Seed Funding,0.00
Moglix,Industrial Toons Marketplace,Noida,"Accel Partner, Jungle Ventures",Private Equity,0.00
ZopHop,Public Commute helper App,Mumbai,"Amit Singhal, PK Gulati & others",Seed Funding,450000.00
Niki.ai,Artificial Intelligence Ecommerce Chatbot,Bangalore,Unilazer Ventures,Seed Funding,0.00
Instavans,Truck Aggregator & Logistics service,Bangalore,Suresh Vaswani,Seed Funding,0.00
LiftO,Ridesharing Mobile app,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,130000.00
TinyOwl,Food Discovery & Delivery Mobile app,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,7500000.00
Toppr.com,Competitive exam learning platform,Mumbai,InnoVen Capital,Private Equity,2000000.00
Kleeto,Document Digitization platform,Gurgaon,GREX,Seed Funding,230000.00
BeaconsTalk,proximity marketing & Mobile Advertising platform,Mumbai,Puneet Bhatia & others,Seed Funding,80000.00
Jugnoo,Autorickshaw Aggregator & Booking platform,Chandigarh,Paytm,Private Equity,10000000.00
TOFlo,FinTech Startup Incubation platform,Mumbai,Tania Johny Palathinkal,Seed Funding,100000.00
FXMartIndia,Payment Services platform,Chandigarh,Flipkart,Private Equity,0.00
Stylecracker,Personalized Styling platform,Mumbai,Group of HNI investors,Private Equity,1000000.00
Luxuryhues,Luxury goods Shopping Platform,Gurgaon,Reliance Capital,Private Equity,900000.00
HolaChef,Food Delivery Platform,Mumbai,Ratan Tata,Private Equity,0.00
Zivame,Online Lingerie Marketplace,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,40000000.00
Capillary Tech,Cloud software solutions,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,45000000.00
Jobspire,Job Search Platform,Bangalore,Purvi Capital,Seed Funding,260000.00
MeraDoctor,Doctor consultancy Mobile App,Mumbai,India Quotient & other investors,Seed Funding,0.00
Vistaar Finance,Small Business Financing (NBFC),Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital, Lok Capital",Private Equity,40000000.00
HiJinny,Beauty & Wellness Services Marketplace,Mumbai,CMYK Health Boutique Pvt Ltd & Other individual investors,Seed Funding,0.00
Clapsnslaps,Online Movie Review Platform,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,150000.00
Blubox,ECommerce Brands\\xe2\\x80\\x99 Full Service Agency,Mumbai,Ashish Jhalani,Seed Funding,100000.00
RoomCentral,Cloud-based Hotel Booking Platform,Bangalore,Karanpal Singh,Seed Funding,2000000.00
YouthKiAwaaz,Community Driven News/Views Platform,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,600000.00
Prozo,Study Material Marketplace,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,205000.00
Zomato,Restaurant Ratings & Reviews platform,Gurgaon,"Temasek, Vy Capital",Private Equity,60000000.00
Sahayog Dairy,Dairy Based Product Manufacturer,Bhopal,Acumen Fund,Private Equity,1800000.00
MockBank,Government Test Preparation platform,Bangalore,Blume Ventures,Seed Funding,400000.00
ReportBee,Smart Report Cards for Schools,Chennai,India Educational Investment Fund,Seed Funding,0.00
GuruG Learning,Teacher empowerment platform,Bangalore,India Educational Investment Fund,Seed Funding,0.00
OnlineTyari,Multilingual Test Preparation Platform,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,770000.00
IndustryBuying,Industrial Tools Marketplace,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,9200000.00
The/Nudge Foundation,Non Profit Organization to alleviate poverty,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,315000.00
FitMeIn,Gym & Fitness Studios Subscription platform,New Delhi,Green House Ventures,Seed Funding,100000.00
Envoged,pre-used luxury item Marketplace,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed Funding,0.00
Zapyle,pre-used apparel shopping mobile app,Bangalore,PayU & Others,Seed Funding,1000000.00
Renomania,Home Design & D\\xc3\\xa9cor platform,New Delhi,Subodh Gupta,Seed Funding,0.00
CredR,Used Vehicles Marketplace,Mumbai,Eight Road Ventures,Private Equity,15000000.00
YatraGenie,Online Bus & Cab ticketing platform,Hyderabad,Ash Bhardwaj,Private Equity,0.00
CanvasFlip,Mobile App testing platform,Hyderabad,Bessemer Venture Partners,Seed Funding,1200000.00
Shadowfax,Hyperlocal Delivery Services,Gurgaon,Eight Roads Ventures,Private Equity,9000000.00
UE Life Sciences,Early Cancer Detection Solutions,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,3000000.00
Ola Cabs,Cab rental Mobile app,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,225000000.00
Coverfox,Online Insurance Distribution Platform,Mumbai,Cataraman Ventures,Private Equity,2000000.00
MoEngage,Mobile Marketing Automation Platform,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,4250000.00
Mubble,Prepaid Mobile Bill Manager App,Bangalore,Nandan Nilekani,Seed Funding,0.00
Tea Trails,Chain of Tea Caf\\xc3\\xa9\\xe2\\x80\\x99s,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,1000000.00
Room on Call,Branded Budget Hotel Marketplace,Noida,Payal Syal,Seed Funding,300000.00
FYNE,Home Fitting & Fixtures Marketplace,Bangalore,Sandeep Dama & Others,Seed Funding,0.00
ChaiPoint,Food Subscription platform,Bangalore,Eight Roads Ventures,Private Equity,10000000.00
WedmeGood.com,Wedding Planning Platform,Gurgaon,Indian Angel Network,Seed Funding,410000.00
XSTOK,B2B Mobile Auction Marketplace,Mumbai,Oliphans Capital,Seed Funding,450000.00
UniLog,ECommerce Data Analytics Platform,Bangalore,Kalaari Capital,Private Equity,0.00
Paintcollar,Designer Merchandize Marketplace,Mumbai,Applyifi,Seed Funding,0.00
YepMe,Private label Fashion eTailer,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,75000000.00
Bueno,Online Food ordering & delivery,Gurgaon,High Networth Individuals (No details),Seed Funding,600000.00
Plabro,Real Estate Broker Platform App,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,350000.00
CureJoy,Online Health & Wellness platform,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,1150000.00
Briston Technomach,Internet of Things platform,New Delhi,Undisclosed,Seed Funding,150000.00
LabStreet,Diagnostic Labs aggregator platform,Gurgaon,Multiple investors,Seed Funding,150000.00
DailyNinja,Hyperlocal Delivery Platform,Bangalore,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",Seed Funding,0.00
Portea Medical,Home Medical Care Services,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,37500000.00
Neotrade Analytics,Real-Time stock data platform,Bangalore,Rainmatter,Seed Funding,235000.00
DishCo,Food discovery & table booking app,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",Seed Funding,0.00
LafaLafa,coupons and cashback aggregator app,Mumbai,500 Startups,Seed Funding,125000.00
ConnectAbank,Financial Products lead generation platform,Mumbai,Prakhar Bumb,Seed Funding,0.00
VillFarm,Sustainable Agri-inputs Firm,Bangalore,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",Seed Funding,0.00
Bestdealfinance,Financial Services Portal,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,3000000.00
GameXS.in,Pre-owned games Marketplace,New Delhi,Lead Angels,Seed Funding,0.00
The Man Company,Content-based Subscription eCommerce platform,New Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",Seed Funding,0.00
Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",Bangalore,Swarnim Multiventures,Private Equity,800000.00
Furdo,Online Interior Designing platform,Bangalore,Bhavdeep Reddy,Seed Funding,400000.00
LogiNext,End-to-end Logistics platform,Mumbai,Paytm,Private Equity,10000000.00
Korra,Private Label Apparel sales,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,300000.00
Credihealth,Healthcare Consulting platform,Gurgaon,Rajat Malhotra,Seed Funding,0.00
Amigobulls,Stock Market Portal,Bangalore,"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network & others",Seed Funding,0.00
SilverPush,Cross-device retargeting platform,Gurgaon / SFO,M&S Partners,Private Equity,1200000.00
Juggernaut,Digital & Physical Publishing platform,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,2250000.00
InnerChef,Food Delivery Platform,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,1750000.00
Quintype,Data Driven Publishing platform,Bangalore,Raghav Bahl,Private Equity,3300000.00
Capabiliti,Employee OnBoarding & Orientation platform,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,400000.00
Fourth Partner Energy,Solar Power Solutions company,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,2000000.00
Licious,Online Meat Ordering platform,Bangalore,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,1000000.00
TravelKhana,online meal-booking platform for train travelers,New Delhi,Astarc Ventures & Others,Seed Funding,0.00
Quickli,hyperlocal delivery platform,New Delhi,"500 Startups, Mato Peric & Others",Seed Funding,0.00
Ola Cabs,Cab Booking app platform,Bangalore,Didi Kuaidi,Private Equity,30000000.00
Paytm,E-Commerce & M-Commerce platform,New Delhi,"Alibaba Group, Ant Financial",Private Equity,680000000.00
Inmobi,Mobile Advertising platform,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,100000000.00
Peppertap,Hyperlocal Grocery Delivery,Gurgaon,"Sequoia India, SAIF Partners.",Private Equity,36000000.00
Hugefly,Ecommerce Product recommendation platform,Pune,Mayank Singhal and others,Seed Funding,0.00
Brigge,Activity Based Social Network,Chennai,The Chennai Angels,Seed Funding,0.00
Zakoopi,Fashion Discovery platform,New Delhi,Uniqorn Ventures,Seed Funding,350000.00
LoanCircle,Consumer lending marketplace,Bangalore,"Zishaan Hayath, Rahul Khanna & Others",Seed Funding,0.00
Infoworks,Big Data Management Platform,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,5000000.00
RedDoorz,Budget Accommodation Platform,Noida,Jungle Ventures,Seed Funding,1000000.00
FirstTouch,Local Mobile OS,Gurgaon,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",Seed Funding,0.00
Eywa Media,Digital Signal processing platform,Bangalore,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,1000000.00
Snapdeal,Ecommerce Marketplace,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,500000000.00
Ressy,Restaurant Discount app,Pune,Mohandas Pai & others,Seed Funding,400000.00
Cuelearn,Tech-enabled learning,New Delhi,Alok Mittal,Seed Funding,0.00
Connect India,ECommerce Logistics provider,New Delhi,Aavishkaar,Private Equity,5000000.00
The Home Salon,on-demand home beauty and wellness portal,Mumbai,VentureNursery,Seed Funding,0.00
Jusride,Self Driven Car rental,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",Seed Funding,0.00
Oyorooms,Budget Hotel accommodation brand,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital, Lightspeed India",Private Equity,100000000.00
Glowship,Energy & Environment Online Marketplace,Bangalore,Infuse Ventures,Seed Funding,0.00
Wizrocket,User Engagment & Analytics platform,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,9600000.00
Pickingo,On-Demand Delivery Logistics,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,1300000.00
Grex,fund raising platform for startups,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,650000.00
LetsTransport,Logistics Tech Platform,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,1300000.00
Zo Rooms,Online budget hotel chain,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,30000000.00
